Business Name	Business Established	Address	City	Business Type	Telephone Number	OSM_ID	OSM_NOTE
W. J. Milne Ltd.		249 & 251 Union Street	Aberdeen	Hatters and hosiers	1295		
David Henderson		253 Union Street	Aberdeen	Jewller			
James Farquharson		255 Union Street	Aberdeen				
Mrs. MacDonald		255 Union Street	Aberdeen				
Robert Cable		255 Union Street	Aberdeen	Shoemaker			
Post Office Aberdeen Directory Ltd.		255 Union Street	Aberdeen				
J. Alexander & Co.		257 Union Street	Aberdeen	Upholsterers	466		
"Victoria House, Liverpool Victoria Insurance Offices"		259 Union Street	Aberdeen	Insurance	1102		
"The Phoenix Assurance Co., Ltd."		259 Union Street	Aberdeen	Insurance	1966		
"London Guarantee and Accident Co, Ltd."	1869	259 Union Street	Aberdeen	Insurance	1966		
Ministry of Transport Driving Tests		259 Union Street	Aberdeen				
H.M. Office of Works		259 Union Street	Aberdeen				
Messrs. Barnet's		261 Union Street	Aberdeen				
Milne & Munro		263 Union Street	Aberdeen	Bootmakers	1028		
T. C. Smith & Co.		265 Union Street	Aberdeen	Showroom			
Braemar Hotel		267 Union Street	Aberdeen	Hotel			
And. Collie & Co.		269–271 Union Street	Aberdeen	Grocers			
Miss Mary Silver		335 Union Street	Aberdeen	Millinery and knitware	5416		
Watt Bros.		337 Union Street	Aberdeen	Cabinetmakers			
"Alexanders Distributors (Aberdeen), Ltd."		339 Union Street	Aberdeen	Motor cycle specialists			
North-East Savings Committee		343 Union Street	Aberdeen		2699		
Scottish Savings Committee		343 Union Street	Aberdeen		2699		
Associated Women's Friendly Society		343 Union Street	Aberdeen				
Department of Health for Scotland; Regional Medical Office		343 Union Street	Aberdeen		6314		
Helen Bagrie		343 Union Street	Aberdeen	Costumière			
James M. Farrell		343 Union Street	Aberdeen	Tailor			
"Johnston, Reid & Co."		343 Union Street	Aberdeen	Office furnishers			
E. & C. Gilhooley		343 Union Street	Aberdeen	Naturopaths			
Nature Cure Centre		343 Union Street	Aberdeen	Naturopaths	2149		
Miss C. G. Middleton		343 Union Street	Aberdeen	Naturopaths			
H. Thomson		343 Union Street	Aberdeen	Cabinetmaker	2807		
"Farquharson & Co., Ltd."		345 Union Street	Aberdeen	Merchants	168		
D. C. Cruickshank		347 Union Street	Aberdeen	Cycle and motorcycle specialists			
George M. Bowman		349 Union Street	Aberdeen	Music seller			
Standard Life Assurance Co.	1825	353 Union Street	Aberdeen	Insurance	3493		
"Bank of Scotland, West-End Branch"		355 Union Street	Aberdeen	Bank			
Galloway & Sykes Ltd.		361 to 365 Union Street	Aberdeen	Cabinetmakers	4760		
Jas B. Nicol		367 Union Street	Aberdeen	Architect	790		
Fred C. Ledingham		367 Union Street	Aberdeen	Salesman			
J. & A. Ogilvie		369 Union Street	Aberdeen	Upholsterers			
Wm. Brown & Sons		373 Union Street	Aberdeen	Cabinetmakers	1204		
"Refuge Assurance Co., Ltd."		375 Union Street	Aberdeen	Insurance			
William Mollison		375 Union Street	Aberdeen	Solicitor	3004		
James Iverach		375 Union Street	Aberdeen	Solicitor			
National Employers' Mutual General Insurance Assoc. Ltd.		375 Union Street	Aberdeen	Insurance	2246		
G. P. Wilson		375 Union Street	Aberdeen	Insurance broker	2246		
Miss B. A. Stephens		375 Union Street	Aberdeen	Lodgings			
Mrs B. Mearns		375 Union Street	Aberdeen	Caretaker			
James E. Henderson Ltd.		377 Union Street	Aberdeen	Photographers			
J. & J. Cameron		381 Union Street	Aberdeen	Architects			
George Hay		381 Union Street	Aberdeen				
"Rossleigh Cycle and Motor Company, Ltd."		383 Union Street	Aberdeen	Garage	"4785, 4786"		
Mrs McDonald		387 Union Street	Aberdeen	Costumière	2762		
"The Century Insurance Co., Ltd"	1832	387 Union Street	Aberdeen	Insurance			
Friend's Provident and Century Life Offices		387 Union Street	Aberdeen	Insurance			
Alex. Bruce		387 Union Street	Aberdeen	Insurance inspector			
J. & C. Graham		389 Union Street	Aberdeen		1969		
Jaeger Underwear and Outwear		391 Union Street	Aberdeen	Outfitters			
"Storie, Cruden and Simpson"		393 Union Street	Aberdeen	Advocates			
"Miss Anita Henderson, Central Bureau"		393 Union Street	Aberdeen				
William Rattray		393 Union Street	Aberdeen	Auctioneer and valuator			
"Fullers, Ltd."		395 Union Street	Aberdeen	Confectioners			
Millers Bros.		397 Union Street	Aberdeen		4864		
Halifax Building Society		399 Union Street	Aberdeen	Building society			
"Boots, The Chemists"		401 Union Street	Aberdeen	Chemists			
"J. Pullar & Sons, Ltd."		403 Union Street	Aberdeen	Cleaners and dyers	1273		
"Singer Sewing Machine Co., Ltd."		403 Union Street	Aberdeen		4098		
William M. Mellis		407 Union Street	Aberdeen	Merchant			
Nicoll		409 Union Street	Aberdeen	Ladies' hatter and outfitter			
M. Gerard		411 Union Street	Aberdeen	Jeweller and silversmith	447		
Wm. Cay & Sons		415 Union Street	Aberdeen	Undertaker			
"Roberts (Aberdeen), Ltd."		419 Union Street	Aberdeen	Cabinetmakers	2695		
George M. Shinnia		421 Union Street	Aberdeen				
Spirella Parlours; Margaret Forbes		421 Union Street	Aberdeen		1816		
Mrs. George Beighton		421 Union Street	Aberdeen	Complete house furnishers			
Hurry & Flett		423 Union Street	Aberdeen	Tailors			
George Hurry (of H. & Flett)		423 Union Street	Aberdeen	Tailors			
Nan K. Johnston		423 Union Street	Aberdeen	Furrier			
Knowles & Sons		425 Union Street	Aberdeen	Fruit merchants	"1002, 1003, 1846"		
Canadian Fur Co.		429 Union Street	Aberdeen				
The Capitol		431 Union Street	Aberdeen				
The Capitol Café		431 Union Street	Aberdeen	Cafe			
Wm. Munro		441 Union Street	Aberdeen	Fruiterer			
E. Bonici		443 Union Street	Aberdeen				
"Mrs. Scotland, Lennox House"		445 Union Street	Aberdeen				
E. L. Thomson		447 Union Street	Aberdeen	Milliner	2021		
"Mrs. Campbell, Osborne Hotel"		451 Union Street	Aberdeen				
Robert Burnett		453 Union Street	Aberdeen	Spirit merchant			
Balmoral Lounge Bar		453 Union Street	Aberdeen	Bar			
Findlay's Dairy		457 Union Street	Aberdeen	Dairy	1750		
"R. S. McColl, Ltd."		459 Union Street	Aberdeen	Confentioners			
James Duncan		461 Union Street	Aberdeen	Dentist	5105		
Mrs. Rae		461 Union Street	Aberdeen	Board residence			
J. D. Fraser		461 Union Street	Aberdeen				
"Buttercup Dairy Co., Ltd."		463 Union Street	Aberdeen	Dairy			
"Marlowe (Aberdeen), Ltd."		465 Union Street	Aberdeen	Hairdressers			
Gordons		471 Union Street	Aberdeen	Chemists			
McArthur & Stephen		473 Union Street	Aberdeen	Ladies' outfitters			
The Picture Playhouse		475 Union Street	Aberdeen	Theatre			
Aberdeen Dairy Co.		481 Union Street	Aberdeen	Dairy	1795		
"James Scott & Son (Aberdeen), Ltd."		483 & 485 Union Street	Aberdeen	Plasterers			
"F. W. F. Wishart, Ltd."		493 Union Street	Aberdeen	Fleshers			
Chas. H. Murray		499 Union Street	Aberdeen	Accountant	6557		
"Chivas Brothers, Limited"		501 Union Street	Aberdeen	Grocers			
