Business Name	Business Established	Residential	Building Name 	House Number	Address	City	Business Type	Local Agent	Phone Number	Telegraph Address																			
"National Bank of Scotland, Ltd., West End Branch"				440	Union St	Aberdeen		" Alexander McLeay, agent"	2926																				
Mrs. Wm. Moggach			Westbourne Private Hotel	438	Union St	Aberdeen			237																				
"Sun Insurance Office, Ltd"	1710			438	Union St	Aberdeen		"district secretary, Douglas W. Brown"	2294																				
Sun Life Assurance Society				438	Union St	Aberdeen		manager W. Wilson Scott	1931																				
The Gordon Cleaning Co. (Huntly)				434	Union St	Aberdeen	Cleaners and dyers		3971																				
J. J. Stewart				432	Union St	Aberdeen	"Hosier, glover and fancy drapery"																						
A. J. B. Strachan				416	Union St	Aberdeen	Photographer		851																				
M. A. Ross				414	Union St	Aberdeen	Ladies' and children's outfitter		5533																				
West End Book Shop				412	Union St	Aberdeen	"Booksellers, stationers, librarians, steamer agents"		6																				
C. Herbert McDonald				410	Union St	Aberdeen	Dentist		3666																				
Miss E. Greig				406	Union St	Aberdeen	Apartments																						
Thomsons'				402-408	Union St	Aberdeen	Manufacturing confectioners		1945																				
N. of S. Bank Ltd. (Western branch)				262	Union St	Aberdeen		" agent, James F. Cooper"																					
Alex. B. Beattie 				262	Union St	Aberdeen	Bank Agent		3523																				
J. Jeffrey Moffat				260a	Union St	Aberdeen	Fancy leather goods dealer																						
"A. B. Robertson & Son, Ltd."				260	Union St	Aberdeen	"Electrical engineers (by appointment to His Majesty the King), plumbers, brass-finishers and electro-platers"		398 & 399	"""Light, Aberdeen"""																			
"Pearl Assurance Co., Ltd."				258	Union St	Aberdeen		"divisional manager, W. B. Wight"	1486																				
Robert D. Stephenson				258	Union St	Aberdeen	Musician (drums and trumpet)		6543																				
		Andrew Shivas		258	Union St	Aberdeen			3016																				
Scottish Provident Institution	1837			256	Union St	Aberdeen		"W. M. Graham, local secy."	46																				
John Haywood				256	Union St	Aberdeen	Commissionaire																						
"The Eagle Star and British Dominions Insurance Co., Ltd"				256	Union St	Aberdeen		"branch manager, P. Sinclair Brown, F.C.I.I."	5711 & 5712	"""Domarico, Aberdeen"""																			
Claud Hamilton (Aberdeen) Ltd.				254a	Union St	Aberdeen	"Electrical, motor-car, and power engineers; General office, electric light show-rooms, and motor-car depot."		7100																				
"Motor Union Insurance Co., Ltd."				254	Union St	Aberdeen			3257	"""Motunicon, Aberdeen"""																			
Automobile Association				254	Union St	Aberdeen				"""Fanum, Aberdeen"""																			
Car Corporation of Great Britain ltd.				254	Union St	Aberdeen			3257																				
Sun Life Assurance Co. of Canada			Amicable House	252	Union St	Aberdeen		"branch manager, A. J. Cruickshank"	2585																				
"Hector Powe, Ltd."			Amicable House	252	Union St	Aberdeen	Tailor		5703																				
